descricao;endereco;area;quartos;wc;vagas;valor;codominio;wlink
Apartamento com 2 Quartos à Venda, 54m²;Rua Professor Algacyr Munhoz Mader, 2214 - Cidade Industrial, Curitiba - PR;54;2;1;1;R$ 169.000;R$ 330;https://www.vivareal.com.br//imovel/apartamento-2-quartos-cidade-industrial-bairros-curitiba-com-garagem-54m2-venda-RS169000-id-2615382313/
Apartamento com 2 Quartos à Venda, 68m²;Avenida Presidente Kennedy, 3244 - Água Verde, Curitiba - PR;68;2;2;--;R$ 220.000;R$ 450;https://www.vivareal.com.br//imovel/apartamento-2-quartos-agua-verde-bairros-curitiba-68m2-venda-RS220000-id-2537603376/
Apartamento com 2 Quartos à Venda, 52m²;Rua Vinte e Nove de Junho - Bacacheri, Curitiba - PR;52;2;1;1;R$ 399.500;R$ 420;https://www.vivareal.com.br//imovel/apartamento-2-quartos-bacacheri-bairros-curitiba-com-garagem-52m2-venda-RS399500-id-2613170391/
Apartamento com 3 Quartos à Venda, 77m²;Novo Mundo, Curitiba - PR;77;3;2;1;R$ 320.000;;https://www.vivareal.com.br//imovel/apartamento-3-quartos-novo-mundo-bairros-curitiba-com-garagem-77m2-venda-RS320000-id-2612733014/
Residencial Mont Tannat;Avenida Visconde de Guarapuava, 3130 - Centro, Curitiba - PR;35-72;1-2;1-3;--;A partir de     R$ 325.230;;https://www.vivareal.com.br//imoveis-lancamento/residencial-mont-tannat-2598031692/
Apartamento com 4 Quartos à Venda, 150m²;Rua Monsenhor Manoel Vicente, 709 - Água Verde, Curitiba - PR;150;4;5;4;R$ 1.570.000      Preço abaixo do mercado;R$ 1.000;https://www.vivareal.com.br//imovel/apartamento-4-quartos-agua-verde-bairros-curitiba-com-garagem-150m2-venda-RS1570000-id-2613777703/
Apartamento com 2 Quartos à Venda, 69m²;Rua Monsenhor Ivo Zanlorenzi, 4400 - Cidade Industrial, Curitiba - PR;69;2;2;1;R$ 525.000      Preço abaixo do mercado;R$ 436;https://www.vivareal.com.br//imovel/apartamento-2-quartos-cidade-industrial-bairros-curitiba-com-garagem-69m2-venda-RS525000-id-2613291029/
Apartamento com 2 Quartos à Venda, 173m²;Rua Mateus Leme - São Lourenço, Curitiba - PR;173;2;3;2;R$ 1.380.000;R$ 1.050;https://www.vivareal.com.br//imovel/cobertura-2-quartos-sao-lourenco-bairros-curitiba-com-garagem-173m2-venda-RS1380000-id-2608821597/
Apartamento com 3 Quartos à Venda, 181m²;Alameda Augusto Stellfeld, 1735 - Bigorrilho, Curitiba - PR;181;3;4;2;R$ 1.180.000;R$ 2.521;https://www.vivareal.com.br//imovel/apartamento-3-quartos-bigorrilho-bairros-curitiba-com-garagem-181m2-venda-RS1180000-id-2615445742/
Apartamento com  Quarto à Venda, 29m²;Avenida Visconde de Guarapuava, 3000 - Centro, Curitiba - PR;29;1;1;29;R$ 289.990;;https://www.vivareal.com.br//imovel/apartamento-1-quartos-centro-bairros-curitiba-com-garagem-29m2-venda-RS289990-id-2614620896/
Apartamento com 2 Quartos à Venda, 40m²;Estrada Guilherme Weigert - Santa Cândida, Curitiba - PR;40;2;1;1;R$ 198.000;R$ 420;https://www.vivareal.com.br//imovel/apartamento-2-quartos-santa-candida-bairros-curitiba-com-garagem-40m2-venda-RS198000-id-2614625742/
Residencial Mont Tannat - 35m²;Avenida Visconde de Guarapuava, 3130 - Centro, Curitiba - PR;35;1;1;--;R$ 325.230;;https://www.vivareal.com.br//imoveis-lancamento/residencial-mont-tannat-35m-2606101346/
Apartamento com 2 Quartos à Venda, 54m²;Rua João Bettega, 644 - Portão, Curitiba - PR;54;2;2;1;R$ 295.000      Preço abaixo do mercado;R$ 250;https://www.vivareal.com.br//imovel/apartamento-2-quartos-portao-bairros-curitiba-com-garagem-54m2-venda-RS295000-id-2614896751/
Apartamento com 2 Quartos à Venda, 53m²;Rua Alberto Kosop, 280 - Pinheirinho, Curitiba - PR;53;2;2;2;R$ 329.999;;https://www.vivareal.com.br//imovel/apartamento-2-quartos-pinheirinho-bairros-curitiba-com-garagem-53m2-venda-RS329999-id-2614541631/
Apartamento com 3 Quartos à Venda, 135m²;Avenida Anita Garibaldi, 110 - Cabral, Curitiba - PR;135;3;3;3;R$ 610.000;R$ 650;https://www.vivareal.com.br//imovel/apartamento-3-quartos-cabral-bairros-curitiba-com-garagem-135m2-venda-RS610000-id-2581410202/
Apartamento com 3 Quartos à Venda, 72m²;Rua Oliveira Viana, 110 - Hauer, Curitiba - PR;72;3;1;1;R$ 265.000;R$ 540;https://www.vivareal.com.br//imovel/apartamento-3-quartos-hauer-bairros-curitiba-com-garagem-72m2-venda-RS265000-id-2615668300/
Apartamento com 3 Quartos à Venda, 58m²;Estrada de Santa Cândida, 242 - Santa Cândida, Curitiba - PR;58;3;1;1;R$ 244.990;R$ 330;https://www.vivareal.com.br//imovel/apartamento-3-quartos-santa-candida-bairros-curitiba-com-garagem-58m2-venda-RS244990-id-2615714472/
Apartamento com 2 Quartos à Venda, 45m²;Rua Doutor Ennio Marçal, 173 - Tingui, Curitiba - PR;45;2;1;1;R$ 239.000;R$ 200;https://www.vivareal.com.br//imovel/apartamento-2-quartos-tingui-bairros-curitiba-com-garagem-45m2-venda-RS239000-id-2615452897/
Residencial Mont Tannat - 67m²;Avenida Visconde de Guarapuava, 3130 - Centro, Curitiba - PR;67;2;2;1;R$ 555.250;;https://www.vivareal.com.br//imoveis-lancamento/residencial-mont-tannat-67m-2606104280/
Apartamento com 4 Quartos à Venda, 197m²;Rua Buenos Aires, 100 - Batel, Curitiba - PR;197;4;5;2;R$ 1.039.420;R$ 1.200;https://www.vivareal.com.br//imovel/apartamento-4-quartos-batel-bairros-curitiba-com-garagem-197m2-venda-RS1039420-id-2615690637/
Apartamento com 2 Quartos à Venda, 63m²;Avenida República Argentina, 2534 - Portão, Curitiba - PR;63;2;2;1;R$ 329.000;;https://www.vivareal.com.br//imovel/apartamento-2-quartos-portao-bairros-curitiba-com-garagem-63m2-venda-RS329000-id-2615336097/
Apartamento com 2 Quartos à Venda, 64m²;Rua Jovino do Rosário, 1674 - Boa Vista, Curitiba - PR;64;2;2;1;R$ 490.000;R$ 380;https://www.vivareal.com.br//imovel/apartamento-2-quartos-boa-vista-bairros-curitiba-com-garagem-64m2-venda-RS490000-id-2615667109/
Apartamento com 4 Quartos à Venda, 230m²;Alameda Doutor Carlos de Carvalho, 1638 - Batel, Curitiba - PR;230;4;4;3;R$ 1.790.000;R$ 2.200;https://www.vivareal.com.br//imovel/apartamento-4-quartos-batel-bairros-curitiba-com-garagem-230m2-venda-RS1790000-id-2615546927/
Apartamento com 2 Quartos à Venda, 68m²;Rua Professor Veríssimo Antônio de Souza, 41 - Vila Izabel, Curitiba - PR;68;2;1;1;R$ 270.000;;https://www.vivareal.com.br//imovel/apartamento-2-quartos-vila-izabel-bairros-curitiba-com-garagem-68m2-venda-RS270000-id-2615044325/
Apartamento com 4 Quartos à Venda, 181m²;Rua Saldanha Marinho, 2190 - Bigorrilho, Curitiba - PR;181;4;5;2;R$ 895.000;R$ 1.500;https://www.vivareal.com.br//imovel/apartamento-4-quartos-bigorrilho-bairros-curitiba-com-garagem-181m2-venda-RS895000-id-2473555632/
Apartamento com 2 Quartos à Venda, 89m²;Portão, Curitiba - PR;89;2;2;2;R$ 530.000;;https://www.vivareal.com.br//imovel/apartamento-2-quartos-portao-bairros-curitiba-com-garagem-89m2-venda-RS530000-id-2612534875/
Apartamento com  Quarto à Venda, 61m²;Santa Cândida, Curitiba - PR;61;1;1;--;R$ 247.500      Preço abaixo do mercado;;https://www.vivareal.com.br//imovel/apartamento-1-quartos-santa-candida-bairros-curitiba-61m2-venda-RS247500-id-2615669735/
Apartamento com 3 Quartos à Venda, 142m²;Rua João Bonat, 100 - Novo Mundo, Curitiba - PR;142;3;4;2;R$ 889.880;R$ 700;https://www.vivareal.com.br//imovel/apartamento-3-quartos-novo-mundo-bairros-curitiba-com-garagem-142m2-venda-RS889880-id-2615680691/
Apartamento com 3 Quartos à Venda, 170m²;Rua Visconde do Rio Branco, 1541 - Centro, Curitiba - PR;170;3;3;1;R$ 650.000;R$ 1.700;https://www.vivareal.com.br//imovel/apartamento-3-quartos-centro-bairros-curitiba-com-garagem-170m2-venda-RS650000-id-2615707519/
Apartamento com  Quarto à Venda, 39m²;Travessa Arnoldo Kuhl, 110 - Portão, Curitiba - PR;39;1;1;1;R$ 265.000;R$ 460;https://www.vivareal.com.br//imovel/apartamento-1-quartos-portao-bairros-curitiba-com-garagem-39m2-venda-RS265000-id-2614369381/
Apartamento com 3 Quartos à Venda, 64m²;Rua Amadeu Assad Yassim, 270 - Bacacheri, Curitiba - PR;64;3;2;1;R$ 450.000;R$ 420;https://www.vivareal.com.br//imovel/apartamento-3-quartos-bacacheri-bairros-curitiba-com-garagem-64m2-venda-RS450000-id-2615735802/
Apartamento com 3 Quartos à Venda, 67m²;Rua Francisco Raitani, 7081 - Capão Raso, Curitiba - PR;67;3;2;1;R$ 350.000;R$ 469;https://www.vivareal.com.br//imovel/apartamento-3-quartos-capao-raso-bairros-curitiba-com-garagem-67m2-venda-RS350000-id-2615383323/
Apartamento com  Quarto à Venda, 49m²;Rua Brigadeiro Franco, 66 - Mercês, Curitiba - PR;49;1;1;1;R$ 450.000;R$ 400;https://www.vivareal.com.br//imovel/apartamento-1-quartos-merces-bairros-curitiba-com-garagem-49m2-venda-RS450000-id-2615361990/
Apartamento com 2 Quartos à Venda, 51m²;Rua Reinaldo Stocco, 174 - Pinheirinho, Curitiba - PR;51;2;1;1;R$ 250.000;R$ 380;https://www.vivareal.com.br//imovel/apartamento-2-quartos-pinheirinho-bairros-curitiba-com-garagem-51m2-venda-RS250000-id-2614838731/
Apartamento com 3 Quartos à Venda, 150m²;Rua da Paz - Alto da Rua XV, Curitiba - PR;150;3;4;2;R$ 1.390.000;R$ 1.050;https://www.vivareal.com.br//imovel/apartamento-3-quartos-alto-da-rua-xv-bairros-curitiba-com-garagem-150m2-venda-RS1390000-id-2591886552/
Apartamento com 2 Quartos à Venda, 62m²;Rua Angélica Manikosky Geronasso, 56 - Boa Vista, Curitiba - PR;62;2;2;1;R$ 449.975;;https://www.vivareal.com.br//imovel/apartamento-2-quartos-boa-vista-bairros-curitiba-com-garagem-62m2-venda-RS449975-id-2615713270/
Apartamento com 4 Quartos à Venda, 300m²;Rua Alferes Ângelo Sampaio, 100 - Batel, Curitiba - PR;300;4;5;4;R$ 4.776.877;R$ 3.000;https://www.vivareal.com.br//imovel/apartamento-4-quartos-batel-bairros-curitiba-com-garagem-300m2-venda-RS4776877-id-2615684957/
Apartamento com 3 Quartos à Venda, 54m²;Rua Lothario Boutin, 220 - Pinheirinho, Curitiba - PR;54;3;2;2;R$ 330.000;;https://www.vivareal.com.br//imovel/apartamento-3-quartos-pinheirinho-bairros-curitiba-com-garagem-54m2-venda-RS330000-id-2615714218/
Apartamento com 2 Quartos à Venda, 54m²;Rua Professor Algacyr Munhoz Mader, 2214 - Cidade Industrial, Curitiba - PR;54;2;1;1;R$ 169.000;R$ 330;https://www.vivareal.com.br//imovel/apartamento-2-quartos-cidade-industrial-bairros-curitiba-com-garagem-54m2-venda-RS169000-id-2615382313/
Apartamento com 3 Quartos à Venda, 77m²;Novo Mundo, Curitiba - PR;77;3;2;1;R$ 320.000;;https://www.vivareal.com.br//imovel/apartamento-3-quartos-novo-mundo-bairros-curitiba-com-garagem-77m2-venda-RS320000-id-2612733014/
Residencial Mont Tannat;Avenida Visconde de Guarapuava, 3130 - Centro, Curitiba - PR;35-72;1-2;1-3;--;A partir de     R$ 325.230;;https://www.vivareal.com.br//imoveis-lancamento/residencial-mont-tannat-2598031692/
Apartamento com 4 Quartos à Venda, 150m²;Rua Monsenhor Manoel Vicente, 709 - Água Verde, Curitiba - PR;150;4;5;4;R$ 1.570.000      Preço abaixo do mercado;R$ 1.000;https://www.vivareal.com.br//imovel/apartamento-4-quartos-agua-verde-bairros-curitiba-com-garagem-150m2-venda-RS1570000-id-2613777703/
Apartamento com 2 Quartos à Venda, 69m²;Rua Monsenhor Ivo Zanlorenzi, 4400 - Cidade Industrial, Curitiba - PR;69;2;2;1;R$ 525.000      Preço abaixo do mercado;R$ 436;https://www.vivareal.com.br//imovel/apartamento-2-quartos-cidade-industrial-bairros-curitiba-com-garagem-69m2-venda-RS525000-id-2613291029/
Apartamento com 3 Quartos à Venda, 181m²;Alameda Augusto Stellfeld, 1735 - Bigorrilho, Curitiba - PR;181;3;4;2;R$ 1.180.000;R$ 2.521;https://www.vivareal.com.br//imovel/apartamento-3-quartos-bigorrilho-bairros-curitiba-com-garagem-181m2-venda-RS1180000-id-2615445742/
Apartamento com  Quarto à Venda, 29m²;Avenida Visconde de Guarapuava, 3000 - Centro, Curitiba - PR;29;1;1;29;R$ 289.990;;https://www.vivareal.com.br//imovel/apartamento-1-quartos-centro-bairros-curitiba-com-garagem-29m2-venda-RS289990-id-2614620896/
Apartamento com 2 Quartos à Venda, 40m²;Estrada Guilherme Weigert - Santa Cândida, Curitiba - PR;40;2;1;1;R$ 198.000;R$ 420;https://www.vivareal.com.br//imovel/apartamento-2-quartos-santa-candida-bairros-curitiba-com-garagem-40m2-venda-RS198000-id-2614625742/
Apartamento com 2 Quartos à Venda, 54m²;Rua João Bettega, 644 - Portão, Curitiba - PR;54;2;2;1;R$ 295.000      Preço abaixo do mercado;R$ 250;https://www.vivareal.com.br//imovel/apartamento-2-quartos-portao-bairros-curitiba-com-garagem-54m2-venda-RS295000-id-2614896751/
Residencial Mont Tannat - 35m²;Avenida Visconde de Guarapuava, 3130 - Centro, Curitiba - PR;35;1;1;--;R$ 325.230;;https://www.vivareal.com.br//imoveis-lancamento/residencial-mont-tannat-35m-2606101346/
Apartamento com 2 Quartos à Venda, 53m²;Rua Alberto Kosop, 280 - Pinheirinho, Curitiba - PR;53;2;2;2;R$ 329.999;;https://www.vivareal.com.br//imovel/apartamento-2-quartos-pinheirinho-bairros-curitiba-com-garagem-53m2-venda-RS329999-id-2614541631/
Apartamento com 3 Quartos à Venda, 135m²;Avenida Anita Garibaldi, 110 - Cabral, Curitiba - PR;135;3;3;3;R$ 610.000;R$ 650;https://www.vivareal.com.br//imovel/apartamento-3-quartos-cabral-bairros-curitiba-com-garagem-135m2-venda-RS610000-id-2581410202/
Apartamento com 3 Quartos à Venda, 72m²;Rua Oliveira Viana, 110 - Hauer, Curitiba - PR;72;3;1;1;R$ 265.000;R$ 540;https://www.vivareal.com.br//imovel/apartamento-3-quartos-hauer-bairros-curitiba-com-garagem-72m2-venda-RS265000-id-2615668300/
Apartamento com 3 Quartos à Venda, 58m²;Estrada de Santa Cândida, 242 - Santa Cândida, Curitiba - PR;58;3;1;1;R$ 244.990;R$ 330;https://www.vivareal.com.br//imovel/apartamento-3-quartos-santa-candida-bairros-curitiba-com-garagem-58m2-venda-RS244990-id-2615714472/
Apartamento com 2 Quartos à Venda, 45m²;Rua Doutor Ennio Marçal, 173 - Tingui, Curitiba - PR;45;2;1;1;R$ 239.000;R$ 200;https://www.vivareal.com.br//imovel/apartamento-2-quartos-tingui-bairros-curitiba-com-garagem-45m2-venda-RS239000-id-2615452897/
Apartamento com 4 Quartos à Venda, 197m²;Rua Buenos Aires, 100 - Batel, Curitiba - PR;197;4;5;2;R$ 1.039.420;R$ 1.200;https://www.vivareal.com.br//imovel/apartamento-4-quartos-batel-bairros-curitiba-com-garagem-197m2-venda-RS1039420-id-2615690637/
Residencial Mont Tannat - 67m²;Avenida Visconde de Guarapuava, 3130 - Centro, Curitiba - PR;67;2;2;1;R$ 555.250;;https://www.vivareal.com.br//imoveis-lancamento/residencial-mont-tannat-67m-2606104280/
Apartamento com 2 Quartos à Venda, 63m²;Avenida República Argentina, 2534 - Portão, Curitiba - PR;63;2;2;1;R$ 329.000;;https://www.vivareal.com.br//imovel/apartamento-2-quartos-portao-bairros-curitiba-com-garagem-63m2-venda-RS329000-id-2615336097/
Apartamento com 2 Quartos à Venda, 64m²;Rua Jovino do Rosário, 1674 - Boa Vista, Curitiba - PR;64;2;2;1;R$ 490.000;R$ 380;https://www.vivareal.com.br//imovel/apartamento-2-quartos-boa-vista-bairros-curitiba-com-garagem-64m2-venda-RS490000-id-2615667109/
Apartamento com 4 Quartos à Venda, 230m²;Alameda Doutor Carlos de Carvalho, 1638 - Batel, Curitiba - PR;230;4;4;3;R$ 1.790.000;R$ 2.200;https://www.vivareal.com.br//imovel/apartamento-4-quartos-batel-bairros-curitiba-com-garagem-230m2-venda-RS1790000-id-2615546927/
Apartamento com 4 Quartos à Venda, 181m²;Rua Saldanha Marinho, 2190 - Bigorrilho, Curitiba - PR;181;4;5;2;R$ 895.000;R$ 1.500;https://www.vivareal.com.br//imovel/apartamento-4-quartos-bigorrilho-bairros-curitiba-com-garagem-181m2-venda-RS895000-id-2473555632/
Apartamento com 2 Quartos à Venda, 89m²;Portão, Curitiba - PR;89;2;2;2;R$ 530.000;;https://www.vivareal.com.br//imovel/apartamento-2-quartos-portao-bairros-curitiba-com-garagem-89m2-venda-RS530000-id-2612534875/
Apartamento com  Quarto à Venda, 61m²;Santa Cândida, Curitiba - PR;61;1;1;--;R$ 247.500      Preço abaixo do mercado;;https://www.vivareal.com.br//imovel/apartamento-1-quartos-santa-candida-bairros-curitiba-61m2-venda-RS247500-id-2615669735/
Apartamento com 3 Quartos à Venda, 142m²;Rua João Bonat, 100 - Novo Mundo, Curitiba - PR;142;3;4;2;R$ 889.880;R$ 700;https://www.vivareal.com.br//imovel/apartamento-3-quartos-novo-mundo-bairros-curitiba-com-garagem-142m2-venda-RS889880-id-2615680691/
Apartamento com 3 Quartos à Venda, 170m²;Rua Visconde do Rio Branco, 1541 - Centro, Curitiba - PR;170;3;3;1;R$ 650.000;R$ 1.700;https://www.vivareal.com.br//imovel/apartamento-3-quartos-centro-bairros-curitiba-com-garagem-170m2-venda-RS650000-id-2615707519/
Apartamento com 3 Quartos à Venda, 64m²;Rua Amadeu Assad Yassim, 270 - Bacacheri, Curitiba - PR;64;3;2;1;R$ 450.000;R$ 420;https://www.vivareal.com.br//imovel/apartamento-3-quartos-bacacheri-bairros-curitiba-com-garagem-64m2-venda-RS450000-id-2615735802/
Apartamento com 3 Quartos à Venda, 67m²;Rua Francisco Raitani, 7081 - Capão Raso, Curitiba - PR;67;3;2;1;R$ 350.000;R$ 469;https://www.vivareal.com.br//imovel/apartamento-3-quartos-capao-raso-bairros-curitiba-com-garagem-67m2-venda-RS350000-id-2615383323/
Apartamento com  Quarto à Venda, 49m²;Rua Brigadeiro Franco, 66 - Mercês, Curitiba - PR;49;1;1;1;R$ 450.000;R$ 400;https://www.vivareal.com.br//imovel/apartamento-1-quartos-merces-bairros-curitiba-com-garagem-49m2-venda-RS450000-id-2615361990/
Apartamento com 2 Quartos à Venda, 55m²;Tingui, Curitiba - PR;55;2;2;1;R$ 245.000;R$ 400;https://www.vivareal.com.br//imovel/apartamento-2-quartos-tingui-bairros-curitiba-com-garagem-55m2-venda-RS245000-id-2615438197/
Apartamento com 2 Quartos à Venda, 51m²;Rua Reinaldo Stocco, 174 - Pinheirinho, Curitiba - PR;51;2;1;1;R$ 250.000;R$ 380;https://www.vivareal.com.br//imovel/apartamento-2-quartos-pinheirinho-bairros-curitiba-com-garagem-51m2-venda-RS250000-id-2614838731/
Apartamento com 3 Quartos à Venda, 150m²;Rua da Paz - Alto da Rua XV, Curitiba - PR;150;3;4;2;R$ 1.390.000;R$ 1.050;https://www.vivareal.com.br//imovel/apartamento-3-quartos-alto-da-rua-xv-bairros-curitiba-com-garagem-150m2-venda-RS1390000-id-2591886552/
Apartamento com 2 Quartos à Venda, 62m²;Rua Angélica Manikosky Geronasso, 56 - Boa Vista, Curitiba - PR;62;2;2;1;R$ 449.975;;https://www.vivareal.com.br//imovel/apartamento-2-quartos-boa-vista-bairros-curitiba-com-garagem-62m2-venda-RS449975-id-2615713270/
Apartamento com 4 Quartos à Venda, 300m²;Rua Alferes Ângelo Sampaio, 100 - Batel, Curitiba - PR;300;4;5;4;R$ 4.776.877;R$ 3.000;https://www.vivareal.com.br//imovel/apartamento-4-quartos-batel-bairros-curitiba-com-garagem-300m2-venda-RS4776877-id-2615684957/
Apartamento com 3 Quartos à Venda, 54m²;Rua Lothario Boutin, 220 - Pinheirinho, Curitiba - PR;54;3;2;2;R$ 330.000;;https://www.vivareal.com.br//imovel/apartamento-3-quartos-pinheirinho-bairros-curitiba-com-garagem-54m2-venda-RS330000-id-2615714218/
Apartamento com 2 Quartos à Venda, 54m²;Rua Professor Algacyr Munhoz Mader, 2214 - Cidade Industrial, Curitiba - PR;54;2;1;1;R$ 169.000;R$ 330;https://www.vivareal.com.br//imovel/apartamento-2-quartos-cidade-industrial-bairros-curitiba-com-garagem-54m2-venda-RS169000-id-2615382313/
Apartamento com 2 Quartos à Venda, 68m²;Avenida Presidente Kennedy, 3244 - Água Verde, Curitiba - PR;68;2;2;--;R$ 220.000;R$ 450;https://www.vivareal.com.br//imovel/apartamento-2-quartos-agua-verde-bairros-curitiba-68m2-venda-RS220000-id-2537603376/
Apartamento com 2 Quartos à Venda, 52m²;Rua Vinte e Nove de Junho - Bacacheri, Curitiba - PR;52;2;1;1;R$ 399.500;R$ 420;https://www.vivareal.com.br//imovel/apartamento-2-quartos-bacacheri-bairros-curitiba-com-garagem-52m2-venda-RS399500-id-2613170391/
Apartamento com 3 Quartos à Venda, 77m²;Novo Mundo, Curitiba - PR;77;3;2;1;R$ 320.000;;https://www.vivareal.com.br//imovel/apartamento-3-quartos-novo-mundo-bairros-curitiba-com-garagem-77m2-venda-RS320000-id-2612733014/
Residencial Mont Tannat;Avenida Visconde de Guarapuava, 3130 - Centro, Curitiba - PR;35-72;1-2;1-3;--;A partir de     R$ 325.230;;https://www.vivareal.com.br//imoveis-lancamento/residencial-mont-tannat-2598031692/
Apartamento com 4 Quartos à Venda, 150m²;Rua Monsenhor Manoel Vicente, 709 - Água Verde, Curitiba - PR;150;4;5;4;R$ 1.570.000      Preço abaixo do mercado;R$ 1.000;https://www.vivareal.com.br//imovel/apartamento-4-quartos-agua-verde-bairros-curitiba-com-garagem-150m2-venda-RS1570000-id-2613777703/
Apartamento com 2 Quartos à Venda, 69m²;Rua Monsenhor Ivo Zanlorenzi, 4400 - Cidade Industrial, Curitiba - PR;69;2;2;1;R$ 525.000      Preço abaixo do mercado;R$ 436;https://www.vivareal.com.br//imovel/apartamento-2-quartos-cidade-industrial-bairros-curitiba-com-garagem-69m2-venda-RS525000-id-2613291029/
Apartamento com 2 Quartos à Venda, 173m²;Rua Mateus Leme - São Lourenço, Curitiba - PR;173;2;3;2;R$ 1.380.000;R$ 1.050;https://www.vivareal.com.br//imovel/cobertura-2-quartos-sao-lourenco-bairros-curitiba-com-garagem-173m2-venda-RS1380000-id-2608821597/
